"ObsNo","Female","Age_Group","Education","Region","Pol_Interest","Econ_Ideology","Pol_Ideology","Party_Member","Urban","Participation","Participate_Binary","Participate_Pol","Participate_Ent","Participate_Ina","Censor_Support","Censor_Pol_Support","Censor_Ent_Support","Responsibility_Gov","Gov_Assess","calibWeight"
649,0,2,4,3,3,4,4,0,1,2,1,1,1,2,3,3,2,5,4,0.222419929
650,0,3,4,1,5,3,4,0,0,3,1,3,1,3,5,4,2,4,4,0.222419929
651,1,2,3,3,3,3,4,0,1,3,1,3,3,3,3,1,2,3,5,0.232173727
652,0,2,4,3,3,3,2,0,1,2,1,1,2,1,3,3,2,5,4,0.222419929
653,0,3,4,3,3,2,4,0,1,2,1,2,1,2,3,4,4,2,4,0.222419929
654,0,3,4,5,3,3,3,0,0,3,1,1,1,3,3,3,4,3,5,0.222419929
655,0,4,4,3,2,2,2,1,1,4,1,4,4,4,5,5,5,3,4,0.222419929
656,0,3,4,3,3,2,4,0,1,2,1,2,1,2,2,4,4,2,4,0.222419929
657,0,2,4,5,3,3,3,0,1,2,1,1,1,2,1,5,4,1,5,0.222419929
658,0,3,2,5,4,3,5,0,1,3,1,3,1,3,4,4,3,3,4,3.511892077
659,0,NA,4,3,2,2,3,0,1,4,1,1,4,4,4,4,4,3,4,0.222419929
660,0,3,4,3,2,1,5,1,1,3,1,3,1,3,5,2,5,2,5,0.222419929
661,0,2,2,3,3,3,3,1,1,1,0,1,1,1,3,3,4,4,4,3.511892077
662,0,3,4,1,3,4,5,0,1,4,1,4,1,4,2,4,1,5,5,0.222419929
663,0,3,4,1,2,3,3,0,0,4,1,1,4,1,3,3,3,3,2,0.222419929
664,0,3,4,6,2,2,4,1,0,4,1,1,4,4,4,4,4,4,4,0.222419929
665,0,4,3,4,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,0.222419929
666,0,2,4,2,3,4,3,1,1,4,1,4,1,4,5,4,4,3,4,0.222419929
667,1,2,3,2,1,2,4,0,1,2,1,2,2,2,4,4,3,3,2,0.222419929
668,0,2,4,2,2,2,3,0,1,4,1,4,4,4,4,2,4,4,5,0.222419929
669,0,3,4,3,5,5,5,0,0,3,1,3,1,3,2,5,4,5,5,0.222419929
670,1,2,3,3,4,3,3,0,1,1,0,1,1,1,3,3,3,5,4,0.232173727
671,1,2,3,3,4,3,3,0,1,1,0,1,1,1,3,3,4,3,4,0.232173727
672,0,3,4,3,4,2,4,0,1,2,1,2,1,2,2,4,4,4,4,0.222419929
673,0,4,3,4,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,0.222419929
674,1,2,3,1,3,3,3,0,0,1,0,1,1,1,4,3,4,5,4,0.222419929
675,0,2,4,1,4,4,3,1,0,3,1,3,3,3,3,2,3,3,4,0.222419929
676,0,2,4,2,3,5,5,0,1,1,0,1,1,1,3,4,4,3,5,0.222419929
677,0,3,4,1,3,3,3,0,0,1,0,1,1,1,3,3,3,4,3,0.222419929
678,0,2,4,5,2,3,3,0,0,2,1,1,1,2,1,3,4,1,5,0.222419929
679,0,3,3,3,3,2,3,1,1,3,1,1,1,3,3,4,2,4,4,0.222419929
680,1,4,2,6,3,4,3,1,1,3,1,3,3,3,3,4,4,1,4,3.558718861
681,0,2,4,2,2,5,5,1,1,3,1,1,1,3,4,2,4,3,5,0.222419929
682,0,2,4,1,2,5,3,0,0,1,0,1,1,1,4,4,4,2,5,0.222419929
683,0,2,2,1,1,1,1,1,0,4,1,4,4,1,2,2,2,2,2,2.432931
684,0,3,4,3,3,2,4,0,1,2,1,2,1,2,4,4,4,3,4,0.222419929
685,0,4,4,4,2,2,4,1,0,4,1,1,1,4,4,4,4,3,4,0.222419929
686,0,2,4,6,2,5,1,0,0,1,0,1,1,1,5,4,3,4,5,0.222419929
687,0,2,4,1,2,4,2,0,1,4,1,4,4,1,4,4,3,3,3,0.222419929
688,0,4,4,2,4,4,2,0,1,1,0,1,1,1,4,4,4,4,4,0.222419929
689,0,4,4,3,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,0.222419929
690,0,2,3,2,3,4,4,0,1,5,1,5,1,5,4,4,3,6,3,0.222419929
691,1,2,3,3,4,2,4,0,1,1,0,1,1,1,2,4,3,3,4,0.232173727
692,0,3,4,3,3,3,4,0,1,2,1,2,1,2,2,4,4,4,4,0.222419929
693,0,3,3,1,2,3,3,0,0,1,0,1,1,1,3,3,4,3,3,0.222419929
694,1,2,3,3,3,3,3,1,1,3,1,1,3,3,4,3,3,2,4,0.232173727
695,0,2,3,3,5,5,4,0,0,1,0,1,1,1,3,4,1,4,5,0.222419929
696,0,3,4,1,3,3,3,0,0,1,0,1,1,1,3,3,3,4,3,0.222419929
697,0,3,4,3,3,2,4,0,1,2,1,2,1,2,4,4,4,3,4,0.222419929
698,0,2,4,1,2,4,1,0,0,1,0,1,1,1,4,4,4,4,5,0.222419929
699,NA,2,3,1,2,3,3,0,1,2,1,1,1,2,3,4,5,4,5,0.222419929
700,0,3,4,2,5,3,1,1,0,1,0,1,1,1,5,5,4,3,5,0.222419929
701,0,2,4,1,2,4,1,0,0,1,0,1,1,1,4,4,5,3,5,0.222419929
702,1,3,3,3,3,4,2,0,1,4,1,1,1,4,3,3,4,4,4,0.232173727
703,1,2,3,2,4,3,3,0,1,1,0,1,1,1,2,3,3,4,3,0.222419929
704,0,2,4,1,3,3,3,0,0,1,0,1,1,1,3,3,3,4,3,0.222419929
705,1,2,3,2,4,3,4,0,1,1,0,1,1,1,3,3,3,3,4,0.222419929
706,0,5,1,3,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,3.511892077
707,0,4,4,4,3,4,4,0,1,1,0,1,1,1,4,4,2,3,5,0.222419929
708,0,5,1,3,4,3,2,0,1,1,0,1,1,1,4,4,4,3,4,3.511892077
709,0,4,4,4,3,3,4,0,1,1,0,1,1,1,4,4,4,3,5,0.222419929
710,0,3,4,NA,1,3,1,1,1,2,1,2,1,2,3,2,3,3,5,0.222419929
711,0,3,4,6,2,5,1,0,0,1,0,1,1,1,4,5,4,4,5,0.222419929
712,0,2,4,6,3,4,3,0,0,1,0,1,1,1,3,4,3,3,3,0.222419929
713,0,3,4,1,2,3,5,1,0,3,1,3,1,3,4,3,2,5,5,0.222419929
714,0,2,NA,1,4,1,3,0,0,3,1,3,1,1,3,3,1,4,1,2.432931
715,0,2,1,2,4,4,4,0,0,2,1,1,1,2,3,3,4,2,4,0.232238469
716,0,2,2,1,2,4,4,0,0,3,1,1,1,3,2,NA,4,4,3,2.432931
717,0,2,4,1,2,5,1,0,0,1,0,1,1,1,4,5,5,2,4,0.222419929
718,0,3,4,1,2,4,2,0,0,1,0,1,1,1,4,4,5,4,4,0.222419929
719,1,3,2,6,6,3,5,0,1,1,0,1,1,1,5,1,1,4,5,3.558718861
720,0,5,1,4,3,3,2,0,1,1,0,1,1,1,4,3,2,6,4,2.95703272
721,0,3,4,2,4,5,4,0,1,3,1,3,1,3,5,1,1,4,4,0.222419929
722,0,4,1,4,4,3,3,0,1,1,0,1,1,1,4,4,4,4,4,2.95703272
723,0,3,4,1,2,5,5,1,0,4,1,4,1,4,4,4,4,6,5,0.222419929
