"ObsNo","Female","Age_Group","Education","Region","Pol_Interest","Econ_Ideology","Pol_Ideology","Party_Member","Urban","Participation","Participate_Binary","Participate_Pol","Participate_Ent","Participate_Ina","Censor_Support","Censor_Pol_Support","Censor_Ent_Support","Responsibility_Gov","Gov_Assess","calibWeight"
1089,1,3,3,3,2,3,2,0,1,1,0,1,1,1,4,4,3,5,5,0.232173727
1090,1,3,3,5,2,3,2,0,1,1,0,1,1,1,2,2,2,2,4,0.232173727
1091,1,1,1,6,3,4,2,0,1,2,1,2,1,2,2,4,4,3,4,3.558718861
1092,1,1,1,1,4,5,2,0,1,3,1,1,1,3,3,2,2,2,5,3.558718861
1093,1,4,3,2,3,3,3,0,0,3,1,3,3,3,3,3,3,1,3,0.222419929
1094,1,3,3,1,3,4,4,0,1,3,1,1,1,3,3,3,4,4,3,0.707379899
1095,1,1,2,6,4,2,3,0,0,2,1,1,1,2,4,1,2,4,4,2.939458215
1096,1,3,3,5,3,3,3,0,1,1,0,1,1,1,4,4,4,3,5,0.232173727
1097,1,1,2,2,4,2,2,0,1,1,0,1,1,1,5,2,1,3,4,3.558718861
1098,1,1,2,2,3,4,2,0,1,1,0,1,1,1,4,2,4,2,4,3.558718861
1099,1,1,1,2,1,3,2,0,0,3,1,1,1,3,3,3,3,5,4,2.391569611
1100,1,4,3,2,3,3,3,0,0,3,1,1,3,1,3,3,3,4,3,0.222419929
1101,1,3,3,1,3,2,4,0,1,5,1,5,5,5,3,3,2,6,3,0.707379899
1102,1,1,3,3,3,NA,3,0,0,2,1,1,1,2,2,3,3,4,3,0.222419929
1103,1,3,3,1,4,4,5,0,0,2,1,1,1,2,3,4,4,2,4,0.222419929
1104,1,4,3,2,3,3,3,0,NA,3,1,3,3,3,3,3,3,3,3,0.222419929
1105,1,3,3,1,2,3,3,0,0,2,1,1,1,2,3,3,3,3,4,0.222419929
1106,1,1,2,2,4,5,2,0,1,4,1,4,1,1,4,4,3,3,4,3.558718861
1107,1,1,2,2,3,4,1,0,0,3,1,1,3,3,4,3,3,2,4,2.391569611
1108,1,4,3,2,3,3,3,0,0,4,1,1,4,4,3,3,3,3,3,0.222419929
1109,1,4,3,2,4,4,4,0,0,1,0,1,1,1,4,4,4,4,5,0.222419929
1110,1,1,1,2,1,4,3,0,1,1,0,1,1,1,4,3,1,3,3,3.558718861
1111,1,4,3,2,3,3,3,0,0,4,1,1,4,4,3,5,3,6,3,0.222419929
1112,1,4,3,2,3,3,3,0,0,3,1,1,3,3,3,3,3,2,3,0.222419929
1113,1,1,2,2,3,3,1,0,1,3,1,1,3,3,3,3,2,4,4,3.558718861
1114,1,3,2,2,5,5,1,0,0,1,0,1,1,1,4,5,5,3,4,2.565117498
1115,1,3,2,1,4,4,5,0,0,2,1,1,1,2,3,4,4,4,4,3.558718861
1116,1,3,2,1,3,3,5,0,1,1,0,1,1,1,2,NA,4,3,4,3.558718861
1117,1,3,3,1,1,2,3,0,0,2,1,2,2,2,3,2,2,4,3,0.222419929
1118,1,3,3,1,3,4,4,0,1,1,0,1,1,1,3,3,2,3,3,0.707379899
1119,1,3,3,1,5,3,5,0,1,3,1,1,1,3,4,5,4,2,4,0.707379899
1120,1,3,2,1,1,2,4,0,1,1,0,1,1,1,2,2,2,2,3,3.558718861
1121,1,3,2,1,1,3,4,0,1,3,1,3,3,3,3,3,2,2,2,3.558718861
1122,1,3,3,1,4,3,5,0,NA,4,1,1,1,4,4,3,4,5,4,0.224034476
1123,1,3,2,1,1,2,3,0,0,1,0,1,1,1,3,2,2,3,3,3.558718861
1124,1,3,4,6,3,4,2,1,1,3,1,1,1,3,4,4,4,3,4,0.222419929
